"LANGUAGE","Português Brasileiro","Language name (in native language)."
"LANGUAGE_GAME","Usar idioma do jogo","Default selection in language selection menu."
"NOTE_CLOSE","Fechar","Notification button text - closes the notification."
"NOTE_DONTSHOWAGAIN","Não mostrar novamente","Notification button text - don't show this notification again."
"CONFLICT_DETECTED","Conflito entre Mods detectado!","Warning message that a mod conflict was detected."
"UNABLE_TO_OPERATE","Isto significa que o mod não é capaz de operar e foi desligado.","Warning message letting the user know that the mod can't work."
"CONFLICTING_MODS","Os mods em conflito são:","Part of the mod conflict warning notification - header for the list of conflicting mods."
"HARMONY_ERROR","O mod não foi capaz de aplicar corretamente os patches necessários do harmony.","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","As possíveis causas deste problema incluem:","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","O mod Harmony 2 não está instalado","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","Um mod desatualizado e/ou quebrado está impedindo que o Harmony 2 funcione corretamente","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","Outro mod pode estar tentando aplicar um patch Harmony conflitante","Possible cause of Harmony error - two mods trying to patch the same thing at once."
"MOD_DESCRIPTION","Desbloqueia todos os 81 blocos do jogo.","Mod description displayed in content manager."
"SET_LANGUAGE","Definir idioma"
"UNLOCK","Desbloquear área"
"IGNORE_UNLOCK","Ignore a progressão de desbloqueio de área","Option in options panel - activates option to ignore city milestone progress restrictions on the number of game area tiles."
"IGNORE_UNLOCK_TIP","Quando isso estiver ativado, você sempre poderá comprar novos blocos de área de jogo, ignorando quaisquer restrições de progresso dos marcos da cidade.","Tooltip in options panel."
"UNLOCK_25","Desbloquear a área central de 25 blocos","Button in options panel - unlocks 25-tile area"
"UNLOCK_ALL","Desbloquear todas as áreas","Button in options panel - unlocks all game areas"
"NET_OPTIONS","Redes de transmissão","Option header in options panel."
"NO_POWERLINES","Permitir a transmissão de eletricidade sem linhas elétricas","Option in options panel - activates 'no powerlines' functionality."
"NO_POWERLINES_TIP","Quando isto estiver ativado, os edifícios não precisam mais ser conectados a linhas de energia (você ainda precisará produzir eletricidade).","Tooltip in options panel."
"ELECTRIC_ROADS","Ativar transmissão de energia ao longo das estradas","Option in options panel - activates 'electric roads' functionality."
"ELECTRIC_ROADS_TIP","Quando esta opção estiver habilitada, as estradas conduzirão a electricidade como se fossem linhas de força.","Tooltip in options panel."
"NO_PIPES","Habilita água, esgotos e transmissão de aquecimento sem tubulações","Option in options panel - activates 'no no pipes' functionality."
"NO_PIPES_TIP","Quando isto está ativado, os edifícios não precisam mais ser conectados com água ou tubos de aquecimento (você ainda precisará fornecer tratamento de água e esgoto e plantas de aquecimento, se desejado).","Tooltip in options panel."
"RESCUE_OPTIONS","Opções de resgate de emergência - USE COM CUIDADO","Option header in options panel."
"IGNORE_EXPANDED","Ignore os dados expandidos de 81 blocos na próxima vez que carregar um salvamento."
"IGNORE_EXPANDED_TIP","Use isso como uma opção de reserva de emergência se estiver tendo problemas ao carregar jogos anteriores salvos por mods de 81 blocos (especialmente quaisquer problemas com desaparecimentos de distritos ou áreas).
AVISO: usar esta opção fará com que quaisquer distritos fora da área central de 25 blocos estejam malformados.
Esta opção irá limpar automaticamente após a conclusão do próximo carregamento da cidade.","Tooltip in options panel."
"LOAD_DISABLED","O botão de carregamento do jogo foi desativado pelo mod 81 blocos para proteger seu arquivo salvo contra corrupção. Use o botão sair e reinicie completamente o jogo antes de carregar qualquer arquivo salvo ou iniciar uma nova cidade.","Tooltip on 'load game' button when in-game."
"MAIN_MENU_DISABLED","O botão Sair para o Menu Principal foi desativado pelo mod 81 Tiles para proteger seu arquivo salvo contra corrupção. Use o botão Sair e reinicie completamente o jogo antes de carregar qualquer arquivo salvo ou iniciar uma nova cidade.","Tooltip on 'exit to main menu' button when in-game."
"EDITOR_DISABLED","O botão editor foi desativado porque o mod de 81 blocos está ativo. Para usar os editores, você deve desativar o mod de 81 blocos e reiniciar o jogo.","Tooltip on disabled editor button in main menu."
