"LANGUAGE","Українська","Language name (in native language)."
"MOD_DESCRIPTION","Розблоковує всі 81 ігрові плитки.","Mod description displayed in content manager."
"UNLOCK","Розблокування зони"
"IGNORE_UNLOCK","Ігнорувати прогрес розблокування області","Option in options panel - activates option to ignore city milestone progress restrictions on the number of game area tiles."
"IGNORE_UNLOCK_TIP","Коли це увімкнено, ви завжди зможете придбати ігрові плитки, ігноруючи обмеження на прогрес у міському етапі.","Tooltip in options panel."
"CROSS_THE_LINE","Дозволяти будувати за межами відкритих плиток","Option in options panel - permits building outside of owned area tiles."
"CROSS_THE_LINE_TIP","Коли це увімкнено, ви можете будувати поза відкритими плитками.","Tooltip in options panel."
"UNLOCK_25","Відкрити центральні 15 плиток","Button in options panel - unlocks 25-tile area"
"UNLOCK_ALL","Розблокувати всі області","Button in options panel - unlocks all game areas"
"NET_OPTIONS","Передача дорогами","Option header in options panel."
"NO_POWERLINES","Увімкнути передачу електроенергії без ліній електропередач","Option in options panel - activates 'no powerlines' functionality."
"NO_POWERLINES_TIP","Коли це увімкнено, будівлі більше не повинні взаємодіяти з лініями електропередач (вам все одно потрібно виробляти електрику).","Tooltip in options panel."
"ELECTRIC_ROADS","Увімкнути електропередачу вздовж доріг","Option in options panel - activates 'electric roads' functionality."
"ELECTRIC_ROADS_TIP","Коли це увімкнено, дороги будуть вести електрику так, ніби вони електролінії.","Tooltip in options panel."
"NO_PIPES","Увімкнути водогін, каналізацію та опалення без труб","Option in options panel - activates 'no no pipes' functionality."
"NO_PIPES_TIP","Коли це увімкнено, будівлі більше не потребуватимуть зʼєднання з трубами водопостачання або обігріву (вам все ще потрібно забезпечити генерацію води, та місця для каналізаційних відходів, а також опалення, якщо це потрібно).","Tooltip in options panel."
"EXCEPT_ORIGINAL","Ігнорувати оригінальні водні будівлі","Option in options panel - enables/disables water buildings placed by the map creator."
"EXCEPT_ORIGINAL_TIP","Якщо цей параметр вибраний, водні споруди на стандартній карті (розміщеної в редакторі карт) будуть проігноровані параметром ""без труб""

Ця опція має бути ввімкнена, якщо на карті є водні споруди, використані лише в декоративних цілях (наприклад карти Bringer of Fire's Yangtze та Revelstoke), для того щоб запобігти гіганським приливам і/або забрудненню води.","Tooltip in options panel."
"RESCUE_OPTIONS","Опції екстреного відновлення - ВИКОРИСТОВУЙТЕ З ОБЕРЕЖНІСТЮ","Option header in options panel."
"IGNORE_EXPANDED","Ігнорувати розширені дані 81 tiles, при наступному завантаженні збереження."
"IGNORE_EXPANDED_TIP","Використовуйте цей параметр як варіант екстреної резервної копії, якщо у вас виникли проблеми при завантаженні ігор, збережених на більш ранній версії модифікації 81 Tiles (особливо будь-які проблеми з зникненням районів або площ).
УВАГА: використання цієї опції призведе до неправильного формування всіх районів поза межами центральних 25 клітинок.
Цей параметр автоматично очистится після завершення наступного завантаження міста.","Tooltip in options panel."
"LOAD_DISABLED","Кнопка ""Завантажити"" була відключена модифікацією 81 Tiles, щоб захистити збереження від пошкодження. Використовуйте кнопку ""Вийти з гри"" і повністю перезапустіть гру, перш ніж завантажувати будь-який файл збереження або починати нове місто.","Tooltip on 'load game' button when in-game."
"MAIN_MENU_DISABLED","Кнопка ""Повернутись до головного меню"" була відключена модифікацією 81 Tiles, щоб захистити збереження від пошкодження. Використовуйте кнопку ""Вийти з гри"" і повністю перезапустіть гру, перш ніж завантажувати будь-який файл збереження або починати нове місто.","Tooltip on 'exit to main menu' button when in-game."
"EDITOR_DISABLED","Кнопка ""Інструменти"" була вимкнена, бо модифікація 81 Tiles є активною. Щоб використовувати редактори, необхідно вимкнути модифікацію 81 Tiles та перезапустити гру.","Tooltip on disabled editor button in main menu."
